download_time,name,source_format,url,event_uuid,data_type,data_size,threat_level,event_date
2025-12-05T09:38:00.388631,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/8aa97c34-25e0-43d6-8490-e2119f3c328b.json,8aa97c34-25e0-43d6-8490-e2119f3c328b,json,1346,2,2025-12-04T00:15:17
2025-12-05T09:38:00.408493,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/593a4bc8-81ee-430e-96b9-97abd2787c68.json,593a4bc8-81ee-430e-96b9-97abd2787c68,json,962,2,2025-11-27T00:15:16
2025-12-05T09:38:00.450897,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/1cb9ffe5-5d08-49f4-abfe-c372854ab509.json,1cb9ffe5-5d08-49f4-abfe-c372854ab509,json,1731,2,2025-12-05T00:15:17
2025-12-05T09:38:00.594734,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/157745c2-4225-49f5-9d68-5fc3ff037340.json,157745c2-4225-49f5-9d68-5fc3ff037340,json,8889,2,2025-11-29T00:03:06
2025-12-05T09:38:00.617218,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//0abec2b5-2aef-44dd-866e-ed5e5ece9040.json,0abec2b5-2aef-44dd-866e-ed5e5ece9040,json,1124,2,2025-11-28T00:03:01
2025-12-05T09:38:00.641076,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/9085518d-d1fa-4214-98ca-427f908c0b5b.json,9085518d-d1fa-4214-98ca-427f908c0b5b,json,1045,2,2025-11-28T00:15:15
2025-12-05T09:38:00.676319,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//db000137-2f3a-42da-962e-9206c4226ee0.json,db000137-2f3a-42da-962e-9206c4226ee0,json,1584,2,2025-11-26T00:03:02
2025-12-05T09:38:00.703629,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//37af1f1c-9456-4bf2-9b6f-82d04447f394.json,37af1f1c-9456-4bf2-9b6f-82d04447f394,json,1312,2,2025-11-27T00:03:02
2025-12-05T09:38:00.725226,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/975ef707-9931-4c05-9d64-096b790bb0bf.json,975ef707-9931-4c05-9d64-096b790bb0bf,json,1063,2,2025-12-02T00:15:15
2025-12-05T09:38:00.747553,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/de003fcb-0755-4580-9d31-2479d374895f.json,de003fcb-0755-4580-9d31-2479d374895f,json,1114,2,2025-11-26T00:15:16
2025-12-05T09:38:00.785861,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/cd6aac02-b054-4e67-8445-5145b1a3d672.json,cd6aac02-b054-4e67-8445-5145b1a3d672,json,1745,2,2025-12-03T00:15:17
2025-12-05T09:38:00.843128,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//4a5b24ac-0d64-400d-b506-b376c5c57954.json,4a5b24ac-0d64-400d-b506-b376c5c57954,json,2300,2,2025-12-04T00:03:02
2025-12-05T09:38:00.896869,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//8c54ee13-f7d3-4c0b-a2d7-16ff43214102.json,8c54ee13-f7d3-4c0b-a2d7-16ff43214102,json,2652,2,2025-12-05T00:03:01
2025-12-05T09:38:08.264429,Phishtank,csv,https://data.phishtank.com/data/online-valid.csv,,csv,47733,,
2025-12-06T01:08:47.932672,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,9032,,
2025-12-06T01:08:47.953195,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,4733,,
2025-12-06T01:08:48.117648,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//0f5f71d9-5a13-45b7-a646-5da0d7313ae9.json,0f5f71d9-5a13-45b7-a646-5da0d7313ae9,json,2424,2,2025-12-06T00:03:02
2025-12-06T01:08:49.790071,abuse.ch-SSL,csv,https://sslbl.abuse.ch/blacklist/sslblacklist.csv,,csv,8570,,
2025-12-06T01:08:49.807655,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/ce86af89-1ffa-48bd-a461-e2a35ba9a68c.json,ce86af89-1ffa-48bd-a461-e2a35ba9a68c,json,501,2,2025-12-06T00:03:06
2025-12-06T01:08:49.851364,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/84ac3dbe-65df-4889-9e82-799770ac69e0.json,84ac3dbe-65df-4889-9e82-799770ac69e0,json,1749,2,2025-12-06T00:15:16
2025-12-06T01:08:49.917577,Alienvault-IP-Reputation,csv,https://reputation.alienvault.com/reputation.generic,,csv,609,,
2025-12-06T01:08:57.132103,Phishtank,csv,https://data.phishtank.com/data/online-valid.csv,,csv,47584,,
2025-12-07T01:19:16.628144,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,4731,,
2025-12-07T01:19:16.666381,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,9258,,
